unique_id,template_version,name,from,procedure,section,item_content,item_check,item_note,item_ident
,,,,,,CLOCK,START,,
,,,,AFTER TAKEOFF,,,,,
,,,,,,POSITIVE RATE OF CLIMB,GEAR UP,,
,,,,,,AUTO-BRAKE,OFF,,
,,,,,,ENGINE START SWITCHES,OFF,,
,,,,,,GEAR LEVER,OFF POSITION,,
,,,,,,RWY TURN-OFF LIGHTS,OFF,,
,,,,,,CABIN LIGHTS,AS REQ,,
,,,,CLIMB-OUT,,,,,
,,,,,,CMD A or B,ENGAGE,(when suitable),
,,,,,Passing TA,,,,
,,,,,,ALTIMETER,SET STD,(29.92 / 1013),
,,,,,BELOW 10'000FT,MAX SPEED,250 KIAS,,
,,,,,,ATC,AS REQ,,
,,,,,AFTER TAKEOFF CHECKLIST,,,,
,,,,,,ENGINE BLEEDS,ON,,
,,,,,,PACKS,AUTO,,
,,,,,,LANDING GEAR,UP & OFF,,
,,,,,,FLAPS,"UP, NO LIGHTS",,
,,,,,AFTER TAKEOFF CHECKLIST COMPLETED,,,,
,,,,,Passing 10'000 ft,,,,
,,,,,,LANDING LIGHTS,OFF,,
,,,,,,FASTEN SEAT BELTS,OFF,,
,,,,,,C FUEL PUMPS,AS REQ,,
,,,,CRUISE & DESCENT PREPERATION,,,,,
,,,,,,ENGINE & INSTRUMENTS,MONITOR,,
,,,,,,FUEL QUANTITY,CHECK,,
,,,,,,LIGHTS,AS REQ,,
,,,,,Before TOD (100MN),,,,
,,,,,,ATIS / AIRPORT INFORMATION,CHECK,,
,,,,,,ALTIMETER,CHECK,,
,,,,,,RADIOS,SET,,
,,,,,,RESET MCP ALTITUDE,CHECK,,
,,,,,,FMC APPR SPEED REF,SET,,
,,,,,,LOCALIZER FREQ,SET,,
,,,,,,ILS LOC COURSE,SET,,
,,,,,Descent,,,,
,,,,,,DE-ICE,AS REQ,,
,,,,,,LANDING ALT,CHECK,,
,,,,,,RECALL (737-800 only),CHECK,,
,,,,,,RADIO ALT / BARO MIN,"SET, CHECK",,
,,,,,,AUTO BRAKE,AS REQ,,
,,,,,DESCENT CHECKLIST,,,,
,,,,,,PERSSURIZATION ,LAND ALT__ CHECKED,,
,,,,,,RECALL,CHECKED,,
,,,,,,AUTO BRAKE,__ SET,,
,,,,,,LANDING DATA,"VREF__ , MINIMUMS__",,
,,,,,,APPROACH BRIEFING,COMPLETED,,
,,,,,DESCENT CHECKLIST COMPLETED,,,,
,,,,,Passing TA ,,,,
,,,,,,ALTIMETER,RESET TO LOCAL,,
,,,,,Below 10'000 ft,,,,
,,,,,,SPEED,250 KIAS,,
,,,,,,LANDING LIGHTS,ON,,
,,,,,,PASSENGER SIGNS,ON,,
,,,,,,Weather,CHECK,"ATIS, Flight Services",
,,,,APPROACH,,,,,
,,,,,,ALTIMETER,CHECK,,
,,,,,,LOCALIZER FREQ,CHECK,,
,,,,,,LOCALIZER COURSE,CHECK,,
,,,,,,APP,ARM,,
,,,,,,GLIDESLOPE ALIVE,GEAR DOWN,,
,,,,,,FLAPS,15 OR 30 OR 40,,
,,,,,,SPEED BRAKE,ARM,,
,,,,,,2ND AUTOPILOT,ARM,(when ILS established),
,,,,,,ENGINE START SWITCHES,CONT,,
,,,,,,LANDING FLAPS,SET,,
,,,,,APPROACH CHECKLIST,,,,
,,,,,,ALTIMETER,__ SET,,
,,,,,,SEATBELTS,ON,,
,,,,,APPROACH CHECKLIST COMPLETED,,,,
,,,,LANDING,,,,,
,,,,,,GO-AROUND ALTITUDE,SET,,
,,,,,,RWY TURN-OFF LIGHTS,ON,,
,,,,,,LANDING GEAR,CHECK DOWN,,
,,,,,,AUTOPILOT,AS REQ,,
,,,,,,AUTO-THRUST,AS REQ,,
,,,,,LANDING CHECKLIST,,,,
